Name,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Baseline
21,-86.94470787,40.43804350,173.261,,-86.94470787,40.43804350,173.261,,,,,2.134,FIX,2021-06-01 11:28:07.1 UTC-04:00,2021-06-01 11:28:07.1 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2707.804
22,-86.94469608,40.43805169,173.275,,-86.94469608,40.43805169,173.275,,,,,2.134,FIX,2021-06-01 11:28:20.3 UTC-04:00,2021-06-01 11:28:20.3 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2706.483
23,-86.94468882,40.43806237,173.328,,-86.94468882,40.43806237,173.328,,,,,2.134,FIX,2021-06-01 11:28:37.3 UTC-04:00,2021-06-01 11:28:37.3 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2705.159
24,-86.94468601,40.43807397,173.379,,-86.94468601,40.43807397,173.379,,,,,2.134,FIX,2021-06-01 11:28:53.6 UTC-04:00,2021-06-01 11:28:53.6 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2703.971
25,-86.94468612,40.43808683,173.443,,-86.94468612,40.43808683,173.443,,,,,2.134,FIX,2021-06-01 11:29:11.3 UTC-04:00,2021-06-01 11:29:11.3 UTC-04:00,1,1.6,-86.92619664,40.45790787,188.082,2702.813
26,-86.94468747,40.43809537,173.486,,-86.94468747,40.43809537,173.486,,,,,2.134,FIX,2021-06-01 11:29:22.0 UTC-04:00,2021-06-01 11:29:22.0 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2702.107
27,-86.94469332,40.43810925,173.517,,-86.94469332,40.43810925,173.517,,,,,2.134,FIX,2021-06-01 11:29:34.9 UTC-04:00,2021-06-01 11:29:34.9 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2701.141
28,-86.94470026,40.43812329,173.555,,-86.94470026,40.43812329,173.555,,,,,2.134,FIX,2021-06-01 11:29:49.5 UTC-04:00,2021-06-01 11:29:49.5 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2700.213
29,-86.94470918,40.43813934,173.592,,-86.94470918,40.43813934,173.592,,,,,2.134,FIX,2021-06-01 11:30:03.7 UTC-04:00,2021-06-01 11:30:03.7 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2699.204
30,-86.94472928,40.43817623,173.639,,-86.94472928,40.43817623,173.639,,,,,2.134,FIX,2021-06-01 11:30:23.4 UTC-04:00,2021-06-01 11:30:23.4 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2696.866
31,-86.94474927,40.43821191,173.741,,-86.94474927,40.43821191,173.741,,,,,2.134,FIX,2021-06-01 11:30:36.3 UTC-04:00,2021-06-01 11:30:36.3 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2694.638
32,-86.94475763,40.43822668,173.771,,-86.94475763,40.43822668,173.771,,,,,2.134,FIX,2021-06-01 11:30:46.2 UTC-04:00,2021-06-01 11:30:46.2 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2693.720
33,-86.94476117,40.43823888,173.803,,-86.94476117,40.43823888,173.803,,,,,2.134,FIX,2021-06-01 11:30:57.5 UTC-04:00,2021-06-01 11:30:57.5 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2692.798
34,-86.94476510,40.43825324,173.837,,-86.94476510,40.43825324,173.837,,,,,2.134,FIX,2021-06-01 11:31:08.9 UTC-04:00,2021-06-01 11:31:08.9 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2691.699
35,-86.94476692,40.43826949,173.877,,-86.94476692,40.43826949,173.877,,,,,2.134,FIX,2021-06-01 11:31:21.1 UTC-04:00,2021-06-01 11:31:21.1 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2690.326
36,-86.94476695,40.43828466,173.890,,-86.94476695,40.43828466,173.890,,,,,2.134,FIX,2021-06-01 11:31:33.7 UTC-04:00,2021-06-01 11:31:33.7 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2688.962
37,-86.94476407,40.43829811,173.912,,-86.94476407,40.43829811,173.912,,,,,2.134,FIX,2021-06-01 11:31:41.9 UTC-04:00,2021-06-01 11:31:41.9 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2687.608
38,-86.94475783,40.43831480,173.944,,-86.94475783,40.43831480,173.944,,,,,2.134,FIX,2021-06-01 11:31:50.4 UTC-04:00,2021-06-01 11:31:50.4 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2685.796
39,-86.94475128,40.43832838,173.980,,-86.94475128,40.43832838,173.980,,,,,2.134,FIX,2021-06-01 11:32:01.8 UTC-04:00,2021-06-01 11:32:01.8 UTC-04:00,1,1.5,-86.92619664,40.45790787,188.082,2684.249
